,0,T2,T3,NIP1_M,NIP1_F,T4,T5,NIP2_M,NIP2_F,T1,T6_OF,Film_Result_X [mm],Zoom_Result_X [mm], Zoom_Result_Y [mm]
535,1,4.66,4.36,0.32,-0.12,5.34,5.06,0.36,0.36,5.4,3.1700000000000004,0.007,0.0,0.0
536,2,4.7,4.666666666666667,0.3333333333333333,-0.1,5.566666666666666,5.066666666666666,0.3666666666666667,0.4333333333333333,5.433333333333334,3.1833333333333336,0.011,0.0,0.0
537,2,4.699999999999999,4.699999999999999,0.35,-0.15,5.25,5.1,0.4,0.4,5.65,3.1,0.006,0.0,0.0
538,2,4.633333333333333,4.366666666666666,0.3333333333333333,-0.1,5.233333333333333,5.1,0.3666666666666667,0.3999999999999999,5.766666666666667,3.2,-0.007,0.0,0.0
539,2,4.7,4.35,0.35,-0.1,5.45,5.05,0.4,0.6499999999999999,5.9,3.1500000000000004,0.006,0.0,0.0
0,2,5.2,4.333333333333333,0.3666666666666667,-0.1,5.233333333333333,5.033333333333333,6.0,6.099999999999999,5.3,3.45,0.007,0.0,0.0
1,2,5.1,4.4,0.4,-0.1,5.2,4.95,5.9,5.95,5.550000000000001,3.525,0.022,0.0,0.0
2,2,5.133333333333334,4.366666666666667,0.3666666666666667,-0.1,5.2,5.033333333333333,5.866666666666667,5.933333333333334,5.6000000000000005,3.3833333333333333,0.011,0.0,0.0
3,2,5.0,4.4,0.3,-0.1,5.199999999999999,5.1,5.699999999999999,6.05,5.65,3.375,0.007,0.0,0.0
4,1,4.86,4.54,0.32,-0.1,5.42,5.0,5.76,6.1,5.840000000000001,3.3300000000000005,0.0,0.0,0.0
5,2,5.066666666666666,4.333333333333333,0.3333333333333333,-0.1,5.366666666666667,4.9,5.2,5.766666666666667,5.5,3.35,0.0,0.0,0.0
6,2,4.95,4.3,0.3,-0.2,5.2,4.9,5.15,5.75,5.449999999999999,3.35,-0.008,0.0,0.0
7,2,5.0,4.449999999999999,0.4,-0.15,5.3,4.9,5.25,5.95,5.449999999999999,3.45,-0.012,0.0,0.0
