Date : 2022/09/08 (THU)
Time : 10:05:08
   Film : Pattern         Review Cam  
     X        Y         X        Y    
  335.00 -0.16993    335.00  0.00000  
  336.00 -0.15996    336.00  0.00000  
  337.00 -0.15188    337.00  0.00000  
  338.00 -0.15931    338.00  0.00000  
  339.00 -0.15523    339.00  0.00000  
  340.00 -0.15977    340.00  0.00000  
  341.00 -0.14887    341.00  0.00000  
  342.00 -0.16057    342.00  0.00000  
  343.00 -0.16603    343.00  0.00000  
  344.00 -0.16169    344.00  0.00000  
  345.00 -0.15477    345.00  0.00000  
  346.00 -0.15583    346.00  0.00000  
  347.00 -0.14737    347.00  0.00000  
  348.00 -0.15360    348.00  0.00000  
  349.00 -0.15686    349.00  0.00000  
  350.00 -0.16838    350.00  0.00000  
  351.00 -0.16897    351.00  0.00000  
  352.00 -0.16021    352.00  0.00000  
  353.00 -0.15328    353.00  0.00000  
  354.00 -0.16287    354.00  0.00000  
  355.00 -0.15486    355.00  0.00000  
  356.00 -0.16459    356.00  0.00000  
  357.00 -0.15635    357.00  0.00000  
  358.00 -0.16511    358.00  0.00000  
  359.00 -0.17615    359.00  0.00000  
  360.00 -0.16171    360.00  0.00000  
  361.00 -0.15161    361.00  0.00000  
  362.00 -0.16726    362.00  0.00000  
  363.00 -0.15269    363.00  0.00000  
  364.00 -0.16080    364.00  0.00000  
  365.00 -0.15282    365.00  0.00000  
  366.00 -0.16487    366.00  0.00000  
  367.00 -0.16888    367.00  0.00000  
  368.00 -0.16340    368.00  0.00000  
  369.00 -0.15221    369.00  0.00000  
  370.00 -0.16109    370.00  0.00000  
  371.00 -0.15662    371.00  0.00000  
  372.00 -0.15914    372.00  0.00000  
  373.00 -0.15530    373.00  0.00000  
  374.00 -0.16493    374.00  0.00000  
  375.00 -0.16553    375.00  0.00000  
  376.00 -0.16081    376.00  0.00000  
  377.00 -0.14359    377.00  0.00000  
  378.00 -0.15233    378.00  0.00000  
  379.00 -0.14301    379.00  0.00000  
  380.00 -0.14100    380.00  0.00000  
  381.00 -0.13147    381.00  0.00000  
  382.00 -0.15510    382.00  0.00000  
  383.00 -0.15586    383.00  0.00000  
  384.00 -0.14711    384.00  0.00000  
  385.00 -0.14564    385.00  0.00000  
  386.00 -0.15025    386.00  0.00000  
  387.00 -0.13496    387.00  0.00000  
  388.00 -0.14747    388.00  0.00000  
  389.00 -0.14548    389.00  0.00000  
  390.00 -0.14979    390.00  0.00000  
  391.00 -0.15547    391.00  0.00000  
  392.00 -0.14023    392.00  0.00000  
  393.00 -0.13856    393.00  0.00000  
  394.00 -0.14107    394.00  0.00000  
  395.00 -0.13235    395.00  0.00000  
  396.00 -0.13437    396.00  0.00000  
  397.00 -0.13132    397.00  0.00000  
  398.00 -0.15663    398.00  0.00000  
  399.00 -0.15833    399.00  0.00000  
  400.00 -0.15006    400.00  0.00000  
  401.00 -0.14846    401.00  0.00000  
  402.00 -0.15064    402.00  0.00000  
  403.00 -0.13779    403.00  0.00000  
  404.00 -0.13827    404.00  0.00000  
  405.00 -0.14647    405.00  0.00000  
  406.00 -0.15613    406.00  0.00000  
  407.00 -0.16591    407.00  0.00000  
  408.00 -0.15470    408.00  0.00000  
  409.00 -0.14438    409.00  0.00000  
  410.00 -0.14617    410.00  0.00000  
  411.00 -0.13844    411.00  0.00000  
  412.00 -0.13770    412.00  0.00000  
  413.00 -0.13290    413.00  0.00000  
  414.00 -0.14442    414.00  0.00000  
  415.00 -0.14260    415.00  0.00000  
  416.00 -0.14830    416.00  0.00000  
  417.00 -0.14138    417.00  0.00000  
  418.00 -0.14482    418.00  0.00000  
  419.00 -0.12940    419.00  0.00000  
  420.00 -0.13591    420.00  0.00000  
  421.00 -0.12829    421.00  0.00000  
  422.00 -0.14319    422.00  0.00000  
  423.00 -0.14737    423.00  0.00000  
  424.00 -0.14490    424.00  0.00000  
  425.00 -0.15301    425.00  0.00000  
  426.00 -0.15833    426.00  0.00000  
  427.00 -0.14513    427.00  0.00000  
  428.00 -0.13999    428.00  0.00000  
  429.00 -0.13216    429.00  0.00000  
  430.00 -0.14545    430.00  0.00000  
  431.00 -0.14939    431.00  0.00000  
  432.00 -0.14716    432.00  0.00000  
  433.00 -0.13612    433.00  0.00000  
  434.00 -0.13838    434.00  0.00000  
  435.00 -0.13419    435.00  0.00000  
  436.00 -0.14738    436.00  0.00000  
  437.00 -0.14037    437.00  0.00000  
  438.00 -0.15737    438.00  0.00000  
  439.00 -0.15920    439.00  0.00000  
  440.00 -0.15755    440.00  0.00000  
  441.00 -0.15232    441.00  0.00000  
  442.00 -0.14858    442.00  0.00000  
  443.00 -0.13652    443.00  0.00000  
  444.00 -0.14385    444.00  0.00000  
  445.00 -0.12792    445.00  0.00000  
  446.00 -0.14323    446.00  0.00000  
  447.00 -0.16295    447.00  0.00000  
  448.00 -0.15559    448.00  0.00000  
  449.00 -0.15156    449.00  0.00000  
  450.00 -0.15304    450.00  0.00000  
  451.00 -0.14052    451.00  0.00000  
  452.00 -0.13556    452.00  0.00000  
  453.00 -0.13321    453.00  0.00000  
  454.00 -0.14636    454.00  0.00000  
  455.00 -0.15391    455.00  0.00000  
  456.00 -0.15108    456.00  0.00000  
  457.00 -0.14741    457.00  0.00000  
  458.00 -0.14631    458.00  0.00000  
  459.00  0.35134    459.00  0.00000  
  460.00  0.70375    460.00  0.00000  
  461.00  0.94481    461.00  0.00000  
  462.00  1.09677    462.00  0.00000  
  463.00  1.21394    463.00  0.00000  
  464.00  1.28958    464.00  0.00000  
  465.00  1.30943    465.00  0.00000  
  466.00  0.99835    466.00  0.00000  
  467.00  0.68707    467.00  0.00000  
