Date : 2022/09/08 (THU)
Time : 10:05:04
   Film : Pattern         Review Cam  
     X        Y         X        Y    
  347.00 -0.01076    347.00  0.00000  
  348.00 -0.01170    348.00  0.00000  
  349.00  0.00364    349.00  0.00000  
  350.00  0.01196    350.00  0.00000  
  351.00  0.00000    351.00  0.00000  
  352.00 -0.00729    352.00  0.00000  
  353.00 -0.00305    353.00  0.00000  
  354.00 -0.00358    354.00  0.00000  
  355.00 -0.00623    355.00  0.00000  
  356.00 -0.00903    356.00  0.00000  
  357.00  0.01217    357.00  0.00000  
  358.00  0.01721    358.00  0.00000  
  359.00  0.00883    359.00  0.00000  
  360.00  0.00610    360.00  0.00000  
  361.00  0.00494    361.00  0.00000  
  362.00 -0.00360    362.00  0.00000  
  363.00 -0.01204    363.00  0.00000  
  364.00 -0.01149    364.00  0.00000  
  365.00  0.00487    365.00  0.00000  
  366.00  0.01207    366.00  0.00000  
  367.00 -0.00347    367.00  0.00000  
  368.00 -0.00593    368.00  0.00000  
  369.00  0.00000    369.00  0.00000  
  370.00 -0.00790    370.00  0.00000  
  371.00 -0.00939    371.00  0.00000  
  372.00  0.00839    372.00  0.00000  
  373.00  0.00964    373.00  0.00000  
  374.00  0.00000    374.00  0.00000  
  375.00 -0.00354    375.00  0.00000  
  376.00  0.00000    376.00  0.00000  
  377.00  0.00000    377.00  0.00000  
  378.00  0.00000    378.00  0.00000  
  379.00 -0.01175    379.00  0.00000  
  380.00 -0.01065    380.00  0.00000  
  381.00  0.00000    381.00  0.00000  
  382.00  0.01453    382.00  0.00000  
  383.00  0.01470    383.00  0.00000  
  384.00  0.00788    384.00  0.00000  
  385.00  0.00000    385.00  0.00000  
  386.00  0.00000    386.00  0.00000  
  387.00 -0.00499    387.00  0.00000  
  388.00 -0.00579    388.00  0.00000  
  389.00  0.01043    389.00  0.00000  
  390.00  0.01738    390.00  0.00000  
  391.00  0.01545    391.00  0.00000  
  392.00  0.00000    392.00  0.00000  
  393.00  0.00000    393.00  0.00000  
  394.00 -0.00787    394.00  0.00000  
  395.00 -0.01575    395.00  0.00000  
  396.00 -0.01553    396.00  0.00000  
  397.00  0.00000    397.00  0.00000  
  398.00  0.01952    398.00  0.00000  
  399.00  0.02222    399.00  0.00000  
  400.00  0.01023    400.00  0.00000  
  401.00  0.00501    401.00  0.00000  
  402.00 -0.00454    402.00  0.00000  
  403.00 -0.01619    403.00  0.00000  
  404.00 -0.01067    404.00  0.00000  
  405.00  0.01013    405.00  0.00000  
  406.00  0.01328    406.00  0.00000  
  407.00  0.00000    407.00  0.00000  
  408.00 -0.00703    408.00  0.00000  
  409.00 -0.00447    409.00  0.00000  
  410.00 -0.00764    410.00  0.00000  
  411.00 -0.00977    411.00  0.00000  
  412.00  0.00000    412.00  0.00000  
  413.00  0.01260    413.00  0.00000  
  414.00  0.01737    414.00  0.00000  
  415.00  0.00846    415.00  0.00000  
  416.00  0.00000    416.00  0.00000  
  417.00 -0.00961    417.00  0.00000  
  418.00 -0.01660    418.00  0.00000  
  419.00 -0.01357    419.00  0.00000  
  420.00 -0.00823    420.00  0.00000  
  421.00  0.01429    421.00  0.00000  
  422.00  0.01694    422.00  0.00000  
  423.00  0.01099    423.00  0.00000  
  424.00  0.00000    424.00  0.00000  
  425.00  0.00000    425.00  0.00000  
  426.00  0.00362    426.00  0.00000  
  427.00  0.00000    427.00  0.00000  
  428.00 -0.01376    428.00  0.00000  
  429.00  0.00000    429.00  0.00000  
  430.00  0.00406    430.00  0.00000  
  431.00  0.00555    431.00  0.00000  
  432.00  0.00000    432.00  0.00000  
  433.00 -0.00348    433.00  0.00000  
  434.00 -0.00525    434.00  0.00000  
  435.00 -0.00847    435.00  0.00000  
  436.00 -0.01309    436.00  0.00000  
  437.00  0.00349    437.00  0.00000  
  438.00  0.02255    438.00  0.00000  
  439.00  0.01052    439.00  0.00000  
  440.00  0.00000    440.00  0.00000  
  441.00  0.00000    441.00  0.00000  
  442.00 -0.01307    442.00  0.00000  
  443.00 -0.02001    443.00  0.00000  
  444.00 -0.01861    444.00  0.00000  
  445.00  0.00000    445.00  0.00000  
